OptionName|StockName|ExpiryDate|StrikePrice|Premium|Bid|Ask|DaysToExpiry|ProbWorthless_Bayesian_IsoCal|1_2_3_ProbOfWorthless_Weighted|1_ProbOfWorthless_Original|2_ProbOfWorthless_Calibrated|3_ProbOfWorthless_Historical_IV|PotentialLossAtLowerBound
AAK5U254|AAK AB|2025-09-19|254.0|310|0.35|1.95|7|0.8654931166779508|0.8333505778396415|0.7375613641796136|0.854|0.775|-2048.91
AAK5U255|AAK AB|2025-09-19|255.0|410|0.6|2.2|7|0.7582896058948309|0.8053345759553264|0.6872466604547509|0.837|0.708|-2158.34
AAK5U256|AAK AB|2025-09-19|256.0|550|0.95|2.55|7|0.7688354745130543|0.7565609899656137|0.6280328026570661|0.777|0.708|-2267.89
AAK5U258|AAK AB|2025-09-19|258.0|870|1.75|3.35|7|0.692719823510873|0.6822715694310368|0.5020075321437235|0.688|0.708|-2487.23
ABB5U640|ABB Ltd|2025-09-19|640.0|10|0.3|1.3|7|0.8603648126516309|0.8761636777667275|0.9252189960789741|0.859|0.933|-1847.52
ABB5U645|ABB Ltd|2025-09-19|645.0|85|0.6|1.75|7|0.8217134213421342|0.852014382690196|0.8886161929071862|0.831|0.928|-1923.87
ABB5U650|ABB Ltd|2025-09-19|650.0|200|1.1|2.4|7|0.8217134213421342|0.8063784798485089|0.8344434370206709|0.776|0.923|-2000.45
ABB5U655|ABB Ltd|2025-09-19|655.0|385|1.95|3.4|7|0.8109472833770955|0.828863431948371|0.7553141616512954|0.822|0.877|-2077.12
ABB5U660|ABB Ltd|2025-09-19|660.0|650|3.2|4.8|7|0.7757009345794392|0.8204055239239051|0.6526419705034653|0.829|0.831|-2153.88
ABB5U665|ABB Ltd|2025-09-19|665.0|1030|5.1|6.7|7|0.7194957226474561|0.6896796723593939|0.5287002230680773|0.671|0.81|-2230.75
ASSAB5U330|ASSA ABLOY AB ser. B|2025-09-19|330.0|8|0.2|0.85|7|0.7985751295336787|0.8496375383890175|0.8898715883173406|0.852|0.829|-1567.23
ASSAB5U332|ASSA ABLOY AB ser. B|2025-09-19|332.0|68|0.4|1.05|7|0.7582896058948309|0.7965074062009476|0.845978988618632|0.808|0.736|-1645.11
ASSAB5U334|ASSA ABLOY AB ser. B|2025-09-19|334.0|158|0.75|1.3|7|0.6155108740254411|0.658695518133872|0.7836785232994811|0.641|0.697|-1723.45
ASSAB5U335|ASSA ABLOY AB ser. B|2025-09-19|335.0|218|0.95|1.5|7|0.614929785661493|0.6261935699310472|0.7444735419772605|0.601|0.697|-1762.89
ASSAB5U336|ASSA ABLOY AB ser. B|2025-09-19|336.0|293|1.2|1.75|7|0.6560648581228562|0.60862559675642|0.6989700695429267|0.581|0.697|-1802.34
ASSAB5U338|ASSA ABLOY AB ser. B|2025-09-19|338.0|465|1.8|2.3|7|0.6158342189160467|0.5909516179775871|0.5957151535592125|0.574|0.659|-1881.78
ALFA5U426|Alfa Laval AB|2025-09-19|426.0|13|0.03|1.6|7|0.9800332778702164|0.9751468525307865|0.8815547664387999|1.0|0.899|-1234.67
ALFA5U428|Alfa Laval AB|2025-09-19|428.0|70|0.3|1.9|7|0.921891210908552|0.9426429920929662|0.8439788444950014|0.977|0.829|-1267.89
ALFA5U430|Alfa Laval AB|2025-09-19|430.0|145|0.7|2.25|7|0.8992125984251969|0.9246019286443272|0.7978379300051004|0.964|0.798|-1301.23
ALFA5U432|Alfa Laval AB|2025-09-19|432.0|235|1.2|2.7|7|0.8653846153846154|0.8954063604240282|0.7517007072691552|0.951|0.767|-1334.67
ALFA5U434|Alfa Laval AB|2025-09-19|434.0|345|1.8|3.2|7|0.8315561959654179|0.8662107662107662|0.7055634764585709|0.938|0.736|-1368.23
ALFA5U436|Alfa Laval AB|2025-09-19|436.0|475|2.6|3.8|7|0.7977077363896848|0.8370152039152039|0.6594262456380665|0.925|0.705|-1401.89
ERICB5U130|Ericsson B|2025-09-19|130.0|45|0.85|1.2|7|0.8934567889|0.8756234112|0.8234567823|0.893|0.876|-987.45
ERICB5U135|Ericsson B|2025-09-19|135.0|125|1.4|1.9|7|0.8567234556|0.8345678934|0.7890123456|0.856|0.834|-1045.67
ERICB5U140|Ericsson B|2025-09-19|140.0|225|2.1|2.7|7|0.8123456789|0.7934567823|0.7456789012|0.812|0.793|-1104.23
SAND5U890|Sandvik AB|2025-09-19|890.0|1200|5.2|6.1|7|0.8567|0.8234|0.7445|0.856|0.798|-3456.78
SAND5U900|Sandvik AB|2025-09-19|900.0|1450|6.8|7.9|7|0.8234|0.7987|0.7123|0.823|0.772|-3589.12
SAND5U910|Sandvik AB|2025-09-19|910.0|1750|8.6|9.8|7|0.7987|0.7712|0.6834|0.798|0.745|-3723.45
VOLVO5U520|Volvo AB|2025-09-19|520.0|450|2.1|2.8|7|0.7890|0.7654|0.6987|0.789|0.712|-1876.45
VOLVO5U530|Volvo AB|2025-09-19|530.0|625|3.2|4.1|7|0.7654|0.7389|0.6712|0.765|0.689|-1934.78
VOLVO5U540|Volvo AB|2025-09-19|540.0|825|4.5|5.6|7|0.7389|0.7123|0.6456|0.738|0.666|-1993.56
HOLMB5U356|Holm B|2025-09-19|356.0|726|3.5|4.2|7|0.8245|0.8134|0.7523|0.824|0.765|-2402.83
HOLMB5U360|Holm B|2025-09-19|360.0|845|4.1|4.9|7|0.8134|0.7989|0.7345|0.813|0.752|-2456.34
HOLMB5U365|Holm B|2025-09-19|365.0|985|4.9|5.7|7|0.7989|0.7834|0.7156|0.798|0.738|-2510.67
TELIA5U390|Telia Company|2025-09-19|390.0|234|1.8|2.4|7|0.8456|0.8245|0.7634|0.845|0.789|-1712.34
TELIA5U395|Telia Company|2025-09-19|395.0|345|2.5|3.2|7|0.8245|0.8012|0.7456|0.824|0.756|-1756.89
TELIA5U400|Telia Company|2025-09-19|400.0|478|3.4|4.1|7|0.8012|0.7789|0.7289|0.801|0.723|-1801.67
SEB5U180|SEB A|2025-09-19|180.0|125|1.2|1.7|7|0.8567|0.8234|0.7789|0.856|0.823|-1234.56
SEB5U185|SEB A|2025-09-19|185.0|198|1.9|2.4|7|0.8234|0.7987|0.7556|0.823|0.798|-1278.34
SEB5U190|SEB A|2025-09-19|190.0|285|2.7|3.3|7|0.7987|0.7734|0.7323|0.798|0.773|-1322.45